Well name,NS degrees,EW degrees
30/9-21 A,60° 25' 29.12'' N,2° 41' 38.47'' E
35/10-1,61° 7' 2.05'' N,3° 13' 34.87'' E
25/2-11,59° 52' 27.86'' N,2° 30' 59.58'' E
34/3-4 A,61° 48' 7.42'' N,2° 52' 5.97'' E
31/5-5 R,60° 41' 49.66'' N,3° 29' 8.74'' E
30/9-3 A,60° 28' 16.33'' N,2° 45' 37.55'' E
8/10-5 S,57° 3' 32.64'' N,3° 6' 46.97'' E
6507/1-1,65° 56' 19.02'' N,7° 15' 39.03'' E
6407/7-9 A,64° 18' 59.25'' N,7° 9' 24.4'' E
31/5-6,60° 43' 19.78'' N,3° 21' 26.35'' E
34/10-7 R,61° 12' 13.44'' N,2° 16' 28.56'' E
6406/3-6,64° 47' 43.56'' N,6° 57' 55.17'' E
16/1-24,58° 46' 45.59'' N,2° 6' 35.01'' E
15/12-6 S,58° 4' 40.3'' N,1° 53' 25.41'' E
7120/8-2,71° 20' 15.72'' N,20° 27' 57.61'' E
33/6-2,61° 32' 15.87'' N,1° 56' 33'' E
6407/9-10,64° 22' 32'' N,7° 46' 9.2'' E
6507/4-1,65° 38' 14.31'' N,7° 1' 18.46'' E
2/5-14 S,56° 36' 25.78'' N,3° 26' 2.53'' E
31/2-6,60° 54' 13.57'' N,3° 38' 49.53'' E
25/10-11,59° 12' 48.06'' N,2° 7' 42.29'' E
6608/10-3 R,66° 2' 6.66'' N,8° 4' 57.97'' E
25/8-17,59° 23' 32.14'' N,2° 20' 2.2'' E
2/8-17 S,56° 27' 21.19'' N,3° 36' 5.18'' E
7220/11-3 A,72° 1' 12.62'' N,20° 31' 41.23'' E
6506/11-2,65° 3' 25.32'' N,6° 37' 22.39'' E
7225/3-2,72° 57' 5.17'' N,25° 58' 23.34'' E
31/3-4,60° 57' 51.3'' N,3° 41' 16.85'' E
17/12-4,58° 10' 37.58'' N,3° 55' 11.05'' E
30/7-5,60° 29' 30.19'' N,2° 3' 27.4'' E
6406/6-1,64° 43' 48.23'' N,6° 42' 14.69'' E
35/12-1,61° 11' 4.06'' N,3° 57' 45.41'' E
36/7-4,61° 24' 59.72'' N,4° 4' 8.06'' E
2/4-1,56° 32' 40.23'' N,3° 11' 55.22'' E
7120/7-1,71° 18' 36.29'' N,20° 11' 22.21'' E
35/3-2,61° 51' 5.98'' N,3° 46' 28.22'' E
6407/1-8 A,64° 59' 55.64'' N,7° 11' 30.1'' E
7324/7-1 S,73° 29' 17.73'' N,24° 16' 48.5'' E
7122/6-1,71° 38' 19.32'' N,22° 48' 42.8'' E
6506/12-8,65° 0' 59.32'' N,6° 56' 58.75'' E
6507/8-3,65° 27' 34.61'' N,7° 38' 29.29'' E
7120/12-4,71° 3' 1.13'' N,20° 42' 32.16'' E
25/8-8 A,59° 25' 51.87'' N,2° 24' 18.73'' E
25/8-16 A,59° 24' 56.25'' N,2° 29' 2.34'' E
35/11-14 S,61° 9' 2.41'' N,3° 32' 51.76'' E
25/4-10 S,59° 30' 51.43'' N,2° 0' 13.78'' E
2/5-7,56° 43' 16.69'' N,3° 22' 1.07'' E
7325/1-1,73° 54' 48.7'' N,25° 7' 0.17'' E
25/4-13 S,59° 30' 39.23'' N,2° 4' 28.86'' E
6406/3-9,64° 58' 4.55'' N,6° 41' 12.73'' E
15/9-11,58° 24' 2.53'' N,1° 53' 41.79'' E
34/3-1 S,61° 48' 46.49'' N,2° 46' 47.16'' E
2/2-1,56° 47' 15.69'' N,3° 38' 15.62'' E
15/9-19 SR2,58° 26' 9.25'' N,1° 55' 47.05'' E
30/9-8 R,60° 25' 26.1'' N,2° 47' 58.38'' E
30/7-3,60° 17' 9.24'' N,2° 14' 54.44'' E
30/6-17,60° 34' 15.77'' N,2° 44' 59.84'' E
34/7-30 S,61° 15' 42.27'' N,2° 10' 13.5'' E
15/9-4,58° 24' 0.26'' N,1° 47' 6.93'' E
34/5-2 S,61° 43' 31.18'' N,2° 39' 17.51'' E
7324/10-1,73° 9' 49.45'' N,24° 18' 47.62'' E
25/7-3,59° 26' 8.81'' N,2° 19' 28'' E
7220/11-2 A,72° 0' 37.55'' N,20° 26' 9.01'' E
7220/6-2,72° 34' 13.1'' N,20° 58' 19.66'' E
15/9-14,58° 17' 23.19'' N,1° 41' 28.06'' E
6507/3-13,65° 59' 26.44'' N,7° 44' 43.02'' E
16/2-18 S,58° 49' 56.6'' N,2° 27' 51.2'' E
9/2-3,57° 45' 20.2'' N,4° 22' 13.5'' E
34/10-33 B,61° 7' 34.44'' N,2° 12' 57.1'' E
7125/4-1,71° 33' 0.8'' N,25° 14' 22.32'' E
8/10-1,57° 8' 1.04'' N,3° 3' 55.09'' E
15/6-16 S,58° 40' 14.54'' N,1° 43' 1.99'' E
6406/3-2,64° 51' 46.78'' N,6° 49' 51.87'' E
7120/1-2,71° 47' 29.04'' N,20° 16' 42.98'' E
2/4-16,56° 40' 37.23'' N,3° 9' 2.07'' E
25/11-19 SR,59° 12' 48.48'' N,2° 24' 6.88'' E
2/12-1,56° 14' 4.07'' N,3° 42' 27.5'' E
31/5-3,60° 44' 37.17'' N,3° 26' 20.44'' E
8/5-1,57° 33' 43.83'' N,3° 34' 49.67'' E
25/10-5,59° 10' 49.24'' N,2° 19' 26.97'' E
9/4-1,57° 35' 2'' N,4° 1' 13'' E
34/7-17,61° 20' 50.69'' N,2° 5' 42.31'' E
7/8-1,57° 19' 20.6'' N,2° 28' 28.8'' E
2/4-2,56° 32' 8.65'' N,3° 11' 54.57'' E
15/9-8,58° 22' 55.81'' N,1° 46' 28.32'' E
6607/12-2 S,66° 1' 17.99'' N,7° 51' 50.3'' E
2/9-3,56° 26' 3.38'' N,3° 47' 49.91'' E
6406/12-3 B,64° 1' 52.32'' N,6° 45' 17.58'' E
6608/10-12 A,66° 13' 45.69'' N,8° 18' 45.7'' E
25/11-17,59° 3' 26.66'' N,2° 29' 6.59'' E
34/11-3,61° 5' 45.25'' N,2° 31' 6.51'' E
25/4-6 S,59° 42' 35.43'' N,2° 19' 4.45'' E
31/4-12 A,60° 35' 45.4'' N,3° 9' 51.96'' E
31/4-8,60° 31' 22.82'' N,3° 0' 9.59'' E
2/7-25 S,56° 19' 59.69'' N,3° 14' 53.9'' E
35/10-4 B,61° 8' 55.52'' N,3° 17' 5.11'' E
1/9-6 S,56° 29' 3.85'' N,2° 56' 0.14'' E
16/2-19 A,58° 54' 12.28'' N,2° 29' 37.71'' E
35/3-4,61° 51' 54.54'' N,3° 52' 26.99'' E
6609/7-1,66° 24' 56.49'' N,9° 1' 14.91'' E
34/7-20,61° 26' 39.65'' N,2° 1' 49.98'' E
15/3-7,58° 50' 54.57'' N,1° 45' 8.59'' E
6507/12-2,65° 11' 48.9'' N,7° 51' 35.41'' E
25/5-4,59° 36' 33.22'' N,2° 28' 32.07'' E
25/8-15 S,59° 15' 58.13'' N,2° 26' 59.53'' E
16/10-5,58° 0' 3.58'' N,2° 7' 55.56'' E
36/1-1,61° 56' 40.36'' N,4° 15' 43.86'' E
7/11-7,57° 4' 10.04'' N,2° 26' 4.82'' E
30/3-8 S,60° 46' 57.87'' N,2° 53' 52.27'' E
30/9-11,60° 19' 27.89'' N,2° 55' 44'' E
15/6-9 S,58° 35' 13.71'' N,1° 44' 34.87'' E
7220/11-3 AR,72° 1' 12.62'' N,20° 31' 41.23'' E
6406/8-2,64° 28' 49.95'' N,6° 20' 17.62'' E
35/11-21 S,61° 9' 28.17'' N,3° 38' 56.48'' E
6205/3-1,62° 57' 8.62'' N,5° 56' 38.11'' E
34/10-6,61° 14' 37.09'' N,2° 13' 43.68'' E
7222/11-2,72° 6' 23.17'' N,22° 36' 47.74'' E
34/7-31 A,61° 18' 37.68'' N,2° 3' 59.81'' E
15/12-26,58° 8' 19.07'' N,1° 55' 36.23'' E
24/9-13 A,59° 17' 51.89'' N,1° 46' 2.45'' E
34/6-2 A,61° 35' 24.47'' N,2° 45' 14.08'' E
35/9-1 R,61° 23' 7.95'' N,3° 59' 3.72'' E
34/7-9,61° 29' 11.99'' N,2° 11' 43.6'' E
6608/11-8,66° 7' 39.86'' N,8° 20' 12.37'' E
6506/11-6,65° 1' 26.24'' N,6° 25' 10.71'' E
31/3-1,60° 46' 47.86'' N,3° 44' 3.4'' E
7131/4-1,71° 41' 40.98'' N,31° 0' 40.96'' E
16/1-8 R,58° 50' 8.63'' N,2° 14' 6.36'' E
7322/7-1,73° 24' 48.35'' N,22° 2' 22.18'' E
9/2-7 S,57° 45' 15.15'' N,4° 21' 21.75'' E
35/11-4,61° 1' 59.93'' N,3° 32' 53.58'' E
34/8-11,61° 21' 46.94'' N,2° 27' 37.54'' E
2/4-9,56° 36' 22.2'' N,3° 5' 8.5'' E
10/7-1,57° 28' 23.3'' N,5° 3' 33.21'' E
34/10-52 B,61° 4' 14.75'' N,2° 11' 31.5'' E
7220/4-1,72° 35' 19.67'' N,20° 14' 5.97'' E
25/1-1,59° 53' 17.4'' N,2° 4' 42.7'' E
7220/7-2 S,72° 26' 55.1'' N,20° 18' 25.9'' E
6406/2-5,64° 55' 53.83'' N,6° 26' 58.65'' E
3/5-1,56° 37' 25.78'' N,4° 25' 11.97'' E
33/6-4,61° 38' 58.23'' N,1° 44' 1.51'' E
7120/12-2,71° 7' 30.3'' N,20° 48' 19'' E
6407/9-5,64° 16' 42.35'' N,7° 44' 14.66'' E
15/12-7 S,58° 0' 49.93'' N,1° 58' 35.54'' E
7122/7-1,71° 17' 10.93'' N,22° 19' 7.02'' E
30/6-6,60° 36' 43.43'' N,2° 49' 54.11'' E
16/1-17,58° 50' 17.95'' N,2° 19' 23.32'' E
3/7-4,56° 24' 15.6'' N,4° 14' 22.24'' E
30/6-23 R,60° 40' 58.01'' N,2° 55' 58.97'' E
35/8-3,61° 21' 5.35'' N,3° 32' 2.63'' E
2/5-1,56° 38' 19.95'' N,3° 20' 7.94'' E
25/11-24,59° 6' 12.68'' N,2° 20' 27.73'' E
30/6-13,60° 33' 14.59'' N,2° 49' 21.76'' E
7226/2-1,72° 53' 31.6'' N,26° 35' 39.5'' E
6506/12-1,65° 10' 7.58'' N,6° 43' 44.07'' E
33/9-21 B,61° 23' 48.26'' N,1° 44' 27.25'' E
25/9-2 B,59° 22' 56.26'' N,2° 41' 46.89'' E
25/10-8 A,59° 1' 48.48'' N,2° 13' 25.35'' E
16/1-5 A,58° 47' 53.52'' N,2° 9' 12.14'' E
6604/10-1,66° 11' 0.1'' N,4° 11' 42.79'' E
33/9-2,61° 17' 53.75'' N,1° 53' 41.41'' E
6507/6-4 S,65° 38' 6.2'' N,7° 43' 32.8'' E
15/9-22,58° 20' 42.41'' N,1° 40' 55.12'' E
17/12-2,58° 8' 19.7'' N,3° 42' 10.9'' E
6407/9-6 R,64° 19' 58.07'' N,7° 44' 23.7'' E
6405/10-1,64° 0' 49.1'' N,5° 16' 45.8'' E
2/5-6,56° 34' 13.24'' N,3° 37' 16.57'' E
7324/8-3,73° 26' 4'' N,24° 23' 21.67'' E
15/12-21,58° 13' 40.47'' N,1° 52' 56.82'' E
6406/3-4,64° 53' 0.11'' N,6° 50' 48.55'' E
31/2-1 R,60° 46' 19.16'' N,3° 33' 15.87'' E
34/10-4,61° 12' 15.65'' N,2° 13' 55.96'' E
7121/8-1,71° 25' 43.88'' N,21° 38' 26.56'' E
7220/6-1,72° 33' 12.56'' N,20° 59' 26.86'' E
6507/7-13 A,65° 24' 4.53'' N,7° 19' 49.2'' E
15/6-8 A,58° 32' 57.58'' N,1° 52' 55.9'' E
6608/11-3,66° 6' 34.01'' N,8° 29' 48.87'' E
7321/8-2 S,73° 22' 25.61'' N,21° 35' 11.54'' E
6407/7-8 A,64° 25' 49.3'' N,7° 7' 38.5'' E
25/11-25 S,59° 8' 48.64'' N,2° 23' 21.12'' E
2/4-15 S,56° 40' 27.25'' N,3° 8' 38.79'' E
15/6-13 A,58° 36' 55.48'' N,1° 45' 40.58'' E
6506/11-10,65° 13' 50.54'' N,6° 25' 47.44'' E
6201/11-3,62° 2' 44.96'' N,1° 30' 13.07'' E
30/6-17 R,60° 34' 15.77'' N,2° 44' 59.84'' E
7220/5-3,72° 35' 53.36'' N,20° 22' 59.75'' E
25/9-4,59° 25' 24.36'' N,2° 47' 15.1'' E
31/5-1,60° 43' 33.17'' N,3° 32' 57.01'' E
6407/7-1 S,64° 16' 31.49'' N,7° 12' 21.12'' E
6608/10-5,66° 10' 25.69'' N,8° 15' 3.04'' E
8/10-5 A,57° 3' 32.64'' N,3° 6' 46.97'' E
7220/2-1,72° 48' 43.85'' N,20° 33' 26.97'' E
16/1-21 S,58° 55' 41.83'' N,2° 13' 22.97'' E
30/6-5,60° 41' 20.6'' N,2° 57' 11.09'' E
16/1-16,58° 54' 47.78'' N,2° 15' 54.62'' E
31/2-22 A,60° 58' 48.13'' N,3° 30' 17.16'' E
35/11-18,61° 9' 24.41'' N,3° 20' 38.09'' E
32/2-1,60° 46' 29.35'' N,4° 20' 0.36'' E
6608/6-1,66° 30' 2.69'' N,8° 56' 19.24'' E
34/10-32,61° 4' 33.37'' N,2° 12' 43.59'' E
15/3-11,58° 49' 8.09'' N,1° 52' 2.41'' E
24/9-15 S,59° 20' 29.04'' N,1° 49' 55.35'' E
30/3-10 S,60° 47' 43.5'' N,2° 41' 11.8'' E
7219/9-1,72° 24' 0.78'' N,19° 57' 11.68'' E
31/7-3 S,60° 26' 42.61'' N,3° 3' 13.72'' E
30/11-14,60° 11' 29.91'' N,2° 35' 11.08'' E
35/11-20 S,61° 13' 20.29'' N,3° 26' 25.57'' E
6406/9-3,64° 25' 15.99'' N,6° 58' 42.79'' E
6305/5-1,63° 32' 27.5'' N,5° 20' 14.9'' E
25/1-11 R,59° 47' 25.12'' N,2° 13' 6.43'' E
9/8-1,57° 20' 33.97'' N,4° 20' 12.98'' E
7120/1-4 S,71° 56' 19.5'' N,20° 10' 8.91'' E
30/3-7 S,60° 46' 57.98'' N,2° 53' 51.95'' E
15/3-2 R,58° 59' 0.5'' N,1° 47' 12.6'' E
2/7-11,56° 19' 49.38'' N,3° 18' 29.13'' E
6507/5-9 S,65° 39' 35.84'' N,7° 38' 50.85'' E
6506/9-2 S,65° 15' 51.04'' N,6° 44' 4.36'' E
9/2-4 S,57° 49' 7.48'' N,4° 31' 10.74'' E
25/4-13 A,59° 30' 39.23'' N,2° 4' 28.86'' E
35/11-4 R,61° 1' 59.93'' N,3° 32' 53.58'' E
6604/2-1,66° 47' 1.79'' N,4° 33' 34.85'' E
6608/8-1,66° 18' 32.69'' N,8° 30' 58.84'' E
30/9-5 S,60° 21' 31.34'' N,2° 53' 37.09'' E
7119/7-1,71° 23' 42.4'' N,19° 15' 18.43'' E
6305/8-2,63° 19' 42.05'' N,5° 21' 36.69'' E
6406/1-1,64° 54' 28.39'' N,6° 17' 41.75'' E
8/10-3,57° 2' 23.57'' N,3° 17' 1.85'' E
7228/7-1 B,72° 15' 28.9'' N,28° 8' 59.7'' E
35/11-21 A,61° 9' 28.17'' N,3° 38' 56.48'' E
6407/6-3,64° 42' 31.77'' N,7° 40' 9.84'' E
7220/11-4 A,72° 2' 27.88'' N,20° 33' 7.97'' E
6406/2-6 A,64° 45' 31.34'' N,6° 22' 54.69'' E
30/3-6 S,60° 46' 57.87'' N,2° 53' 51.95'' E
1/2-1,56° 53' 15.07'' N,2° 28' 35.7'' E
7225/3-1,72° 54' 58.31'' N,25° 52' 2.67'' E
31/3-3,60° 50' 2.29'' N,3° 50' 38.16'' E
34/2-4,61° 45' 20.11'' N,2° 39' 37.64'' E
9/2-8 S,57° 49' 7.58'' N,4° 31' 11'' E
34/8-14 A,61° 18' 37.9'' N,2° 20' 32.9'' E
33/9-19 S,61° 28' 33.56'' N,1° 59' 50.6'' E
7/12-9,57° 4' 21.52'' N,2° 52' 56.51'' E
15/12-8,58° 3' 1.85'' N,1° 58' 3.41'' E
30/6-10 A,60° 36' 29.53'' N,2° 46' 24.74'' E
7324/8-1,73° 27' 6.18'' N,24° 24' 15.42'' E
6608/10-18,66° 6' 9.54'' N,8° 4' 23.11'' E
15/6-14 S,58° 34' 19.83'' N,1° 41' 48.45'' E
34/12-1,61° 13' 19.88'' N,2° 59' 55.62'' E
30/6-10,60° 36' 29.53'' N,2° 46' 24.74'' E
2/11-6 S,56° 10' 35.5'' N,3° 27' 36.72'' E
6507/7-14 S,65° 25' 35.84'' N,7° 10' 28.05'' E
31/2-13 S,60° 47' 14.15'' N,3° 26' 3.43'' E
16/5-2 S,58° 44' 43.55'' N,2° 37' 58.2'' E
31/2-16 SR,60° 46' 0.2'' N,3° 25' 26.9'' E
1/9-6 SR,56° 29' 3.85'' N,2° 56' 0.14'' E
7324/7-3 S,73° 26' 30.83'' N,24° 15' 40.08'' E
30/2-5 S,60° 56' 11.23'' N,2° 37' 12.51'' E
2/8-1,56° 17' 47.2'' N,3° 26' 59.7'' E
33/9-19 A,61° 28' 33.56'' N,1° 59' 50.6'' E
16/1-23 S,58° 49' 47.06'' N,2° 16' 55.78'' E
2/4-8,56° 38' 15.6'' N,3° 18' 55'' E
17/9-1 R,58° 28' 27.26'' N,3° 50' 16.18'' E
1/3-2,56° 56' 10'' N,2° 45' 0'' E
6305/8-1,63° 28' 34.84'' N,5° 24' 14.59'' E
34/10-48 A,61° 12' 53.78'' N,2° 16' 27.79'' E
34/7-21,61° 17' 36.84'' N,2° 4' 21.14'' E
7220/8-1,72° 29' 28.92'' N,20° 20' 2.25'' E
6507/11-5 S,65° 0' 18.57'' N,7° 33' 25.23'' E
15/9-24,58° 16' 27.5'' N,1° 58' 55.9'' E
6507/2-2,65° 55' 1.69'' N,7° 30' 54.56'' E
6406/2-4 SR,64° 47' 58.34'' N,6° 32' 29.26'' E
8/10-6 S,57° 3' 9.92'' N,3° 3' 42.12'' E
25/8-19 A,59° 20' 13.21'' N,2° 21' 53.27'' E
35/10-4 A,61° 8' 55.44'' N,3° 17' 4.98'' E
25/5-1 A,59° 43' 47.19'' N,2° 34' 13.46'' E
31/2-5,60° 46' 16.2'' N,3° 25' 53.46'' E
6407/1-7 A,64° 57' 44.68'' N,7° 14' 6.28'' E
6407/6-6,64° 35' 28.82'' N,7° 44' 32.03'' E
1/3-11,56° 50' 58.47'' N,2° 43' 15.43'' E
34/7-35 S,61° 18' 3.71'' N,2° 12' 18.88'' E
30/11-5,60° 8' 50.39'' N,2° 33' 59.57'' E
30/11-6 S,60° 9' 32.53'' N,2° 37' 29.92'' E
25/1-11,59° 47' 25.12'' N,2° 13' 6.43'' E
7/11-2,57° 4' 15.2'' N,2° 24' 26.5'' E
6407/8-6 A,64° 21' 12.7'' N,7° 27' 44.48'' E
25/2-4,59° 58' 44.09'' N,2° 22' 58.88'' E
6406/2-1,64° 52' 15.19'' N,6° 36' 21.35'' E
30/3-5 S,60° 46' 57.82'' N,2° 53' 52.7'' E
7/8-2,57° 23' 39.35'' N,2° 35' 30.21'' E
7229/11-1,72° 12' 57.24'' N,29° 38' 29.75'' E
30/7-8,60° 29' 43.08'' N,2° 0' 20.56'' E
33/12-1,61° 12' 14.7'' N,1° 49' 28.5'' E
7120/6-2 S,71° 36' 0.6'' N,20° 49' 41.7'' E
6407/6-5,64° 38' 34.79'' N,7° 40' 3.87'' E
30/8-3,60° 26' 40.54'' N,2° 38' 58.02'' E
6507/3-10,65° 55' 43.48'' N,7° 54' 0.18'' E
33/12-7,61° 7' 35.72'' N,1° 54' 32.5'' E
30/7-4,60° 29' 29.72'' N,2° 3' 24.32'' E
34/10-49 A,61° 7' 45.06'' N,2° 5' 26.13'' E
6406/3-1,64° 45' 29.77'' N,6° 49' 21.77'' E
25/6-3,59° 42' 3.03'' N,2° 55' 26.04'' E
7/12-1 S,57° 6' 0.5'' N,2° 50' 57'' E
6506/3-1,65° 48' 20.75'' N,6° 44' 32.64'' E
35/11-13,61° 9' 44.1'' N,3° 32' 21.4'' E
8/3-2,57° 54' 6.61'' N,3° 47' 45.41'' E
6407/6-2 R,64° 42' 29.56'' N,7° 40' 32.59'' E
33/9-11,61° 29' 26.13'' N,1° 52' 46.01'' E
15/6-12,58° 37' 48.51'' N,1° 44' 15.47'' E
31/2-17 B,60° 52' 57.08'' N,3° 27' 5.79'' E
6507/3-4,65° 59' 16.6'' N,7° 50' 45.6'' E
6608/10-7,66° 4' 41.5'' N,8° 14' 43.28'' E
6604/5-2 S,66° 36' 33.48'' N,4° 35' 34.3'' E
34/10-23,61° 1' 6.35'' N,2° 19' 1.57'' E
7220/11-2,72° 0' 37.55'' N,20° 26' 9.01'' E
25/8-3,59° 16' 21.53'' N,2° 31' 18.25'' E
33/6-1,61° 32' 14.83'' N,1° 51' 57.55'' E
35/1-2 S,61° 51' 56.18'' N,3° 3' 21.37'' E
16/1-31 A,58° 51' 47.5'' N,2° 18' 12.35'' E
7123/4-1 A,71° 36' 49.3'' N,23° 3' 48.7'' E
30/6-20,60° 37' 20.52'' N,2° 42' 18.52'' E
34/10-31,61° 10' 32.4'' N,2° 11' 15.46'' E
31/2-8,60° 57' 33.02'' N,3° 29' 49.84'' E
2/7-14,56° 29' 20.3'' N,3° 14' 2.65'' E
34/7-29 S,61° 21' 51.69'' N,2° 2' 23.37'' E
16/3-4,58° 48' 11.36'' N,2° 43' 8.3'' E
6406/12-4 A,64° 1' 7.48'' N,6° 46' 31.29'' E
6/3-1,57° 58' 10.2'' N,1° 55' 30.38'' E
9/4-2,57° 41' 11.05'' N,4° 2' 34.85'' E
30/3-2 R,60° 47' 49.23'' N,2° 55' 18.06'' E
7218/11-1,72° 5' 29.1'' N,18° 25' 58.6'' E
6507/3-9 S,65° 56' 44.38'' N,7° 41' 32.91'' E
16/10-2,58° 8' 26.58'' N,2° 2' 14.91'' E
6507/3-1,65° 58' 29.85'' N,7° 49' 31.52'' E
25/1-12,59° 51' 26.7'' N,2° 10' 56.7'' E
1/6-3,56° 38' 36.4'' N,2° 55' 49.7'' E
34/7-26 SR,61° 16' 29.38'' N,2° 7' 11.41'' E
6506/12-5,65° 2' 28.6'' N,6° 58' 21.93'' E
30/8-1 S,60° 27' 46.93'' N,2° 38' 6.53'' E
6405/12-1,64° 11' 42.16'' N,5° 52' 12.7'' E
30/4-1,60° 37' 20.87'' N,2° 9' 34.61'' E
6706/6-2 S,67° 37' 20.6'' N,6° 45' 57.57'' E
25/4-3,59° 30' 44.2'' N,2° 5' 28.9'' E
6507/7-4,65° 19' 11.56'' N,7° 15' 44.99'' E
2/1-17 S,56° 49' 6.13'' N,3° 8' 19.54'' E
25/8-4,59° 15' 31.31'' N,2° 36' 42.97'' E
34/10-13,61° 12' 1.93'' N,2° 18' 3'' E
2/6-1,56° 35' 52'' N,3° 54' 55'' E
6407/2-4,64° 57' 47.4'' N,7° 26' 51.2'' E
30/9-20 S,60° 19' 1.67'' N,2° 48' 3.38'' E
34/7-31,61° 18' 37.68'' N,2° 3' 59.81'' E
7120/9-2,71° 29' 40.81'' N,20° 42' 5.38'' E
6507/7-11 S,65° 18' 4.8'' N,7° 7' 42.27'' E
30/9-4 S,60° 28' 12.83'' N,2° 45' 32.05'' E
25/10-13 S,59° 9' 42.52'' N,2° 14' 23.67'' E
2/4-18 R,56° 41' 57.72'' N,3° 9' 44.24'' E
34/10-26,61° 12' 59.9'' N,2° 16' 23.77'' E
2/6-5,56° 35' 36.69'' N,3° 45' 42.73'' E
6406/12-5 S,64° 3' 37.84'' N,6° 50' 38.82'' E
7/4-2,57° 30' 13.5'' N,2° 18' 33.18'' E
25/2-9,59° 53' 10.16'' N,2° 22' 15.09'' E
24/9-11 S,59° 29' 6.82'' N,1° 50' 7.66'' E
6609/5-1,66° 37' 42.73'' N,9° 24' 52.17'' E
6403/10-1,64° 3' 39.22'' N,3° 0' 10.88'' E
3/7-10 S,56° 27' 10.7'' N,4° 4' 46.32'' E
6507/7-8,65° 17' 52.68'' N,7° 18' 49.87'' E
6406/6-3,64° 34' 24.49'' N,6° 58' 27.53'' E
6407/9-12,64° 22' 16.3'' N,7° 53' 42.39'' E
6507/7-9,65° 19' 31.55'' N,7° 19' 3.95'' E
33/9-18 A,61° 15' 40.78'' N,1° 56' 7.73'' E
25/8-9,59° 28' 6.08'' N,2° 30' 24.9'' E
31/5-4 S,60° 43' 16.19'' N,3° 33' 43.06'' E
26/5-1,59° 40' 18.91'' N,3° 38' 35.7'' E
30/9-21 S,60° 25' 29.12'' N,2° 41' 38.47'' E
31/2-17 S,60° 52' 57.08'' N,3° 27' 5.79'' E
7324/7-2,73° 29' 27.09'' N,24° 14' 2.56'' E
34/10-42 S,61° 0' 26.99'' N,2° 17' 3.46'' E
25/11-25 A,59° 8' 48.64'' N,2° 23' 21.12'' E
25/6-2,59° 33' 39.83'' N,2° 49' 13.44'' E
16/1-14,58° 53' 9.28'' N,2° 12' 10.46'' E
16/2-9 S,58° 54' 46.39'' N,2° 26' 22.8'' E
6407/11-1,64° 12' 22.82'' N,7° 29' 33.28'' E
7324/6-1,73° 39' 7.06'' N,24° 58' 35.17'' E
25/11-13,59° 11' 26.49'' N,2° 23' 24.09'' E
16/10-1,58° 3' 23.68'' N,2° 3' 14.05'' E
35/8-1,61° 21' 26.37'' N,3° 21' 44.09'' E
1/3-10,56° 55' 39.86'' N,2° 42' 20.69'' E
16/2-5,58° 48' 50.74'' N,2° 22' 11.05'' E
34/7-7,61° 26' 54.53'' N,2° 5' 55.69'' E
30/9-1,60° 28' 25.09'' N,2° 52' 45.38'' E
25/10-9,59° 6' 34.67'' N,2° 10' 7.8'' E
34/10-2,61° 6' 7.92'' N,2° 13' 39.96'' E
2/5-11,56° 42' 16.23'' N,3° 23' 1.65'' E
15/9-18,58° 21' 1.95'' N,1° 48' 12.27'' E
7121/4-2,71° 39' 26.09'' N,21° 3' 45.96'' E
2/11-4,56° 14' 50.37'' N,3° 23' 18.92'' E
6406/2-3,64° 58' 40.8'' N,6° 24' 37.71'' E
7216/11-1 S,72° 0' 56.72'' N,16° 36' 22'' E
33/12-9 S,61° 1' 46.89'' N,1° 56' 0.72'' E
30/6-23,60° 40' 58.01'' N,2° 55' 58.97'' E
25/2-10 SR,59° 53' 11.8'' N,2° 30' 8.33'' E
30/6-28 S,60° 33' 59.47'' N,2° 44' 40.7'' E
30/9-16,60° 15' 10.35'' N,2° 45' 0.84'' E
36/7-2,61° 18' 23.5'' N,4° 19' 47'' E
6608/2-1 S,66° 58' 7.03'' N,8° 23' 37.61'' E
7132/2-1,71° 51' 55.88'' N,32° 25' 56.4'' E
2/1-5,56° 47' 54.06'' N,3° 12' 21.39'' E
15/12-13,58° 2' 3.83'' N,1° 55' 4.57'' E
35/8-6 S,61° 19' 41.65'' N,3° 20' 17.06'' E
34/10-45 A,61° 12' 9.93'' N,2° 12' 5.93'' E
31/6-6,60° 41' 57.08'' N,3° 56' 4.61'' E
24/12-2,59° 12' 0.75'' N,1° 52' 53.34'' E
33/9-16,61° 23' 28.81'' N,1° 57' 1.93'' E
6406/9-1 A,64° 26' 46.85'' N,6° 48' 55.23'' E
6611/1-1,66° 47' 39.64'' N,11° 1' 11.61'' E
6610/3-1 R2,66° 55' 29.7'' N,10° 54' 6.28'' E
15/12-22,58° 12' 12.3'' N,1° 59' 14.4'' E
16/4-6 S,58° 41' 33.84'' N,2° 13' 52.02'' E
2/1-16 S,56° 51' 1.72'' N,3° 18' 52.69'' E
35/11-17,61° 3' 31.22'' N,3° 31' 56.88'' E
16/5-8 S,58° 43' 37.32'' N,2° 21' 11.7'' E
34/2-3,61° 47' 20.91'' N,2° 30' 4.6'' E
6608/10-13,66° 0' 25.47'' N,8° 18' 10.22'' E
6407/9-6,64° 19' 58.07'' N,7° 44' 23.7'' E
24/12-6 S,59° 3' 54.14'' N,1° 45' 15.24'' E
