Well name,NS degrees,EW degrees
24/9-2,59° 16' 12.43'' N,1° 55' 12.26'' E
35/11-15 S,61° 6' 50.28'' N,3° 31' 19.94'' E
15/6-10,58° 40' 55.75'' N,1° 50' 15.24'' E
15/9-6,58° 27' 13.5'' N,1° 41' 31.4'' E
6704/12-1,67° 7' 25'' N,4° 42' 44.7'' E
34/7-36 S,61° 21' 46.02'' N,2° 18' 20.84'' E
32/4-2,60° 30' 37.36'' N,4° 9' 18.03'' E
31/2-14,60° 51' 26.52'' N,3° 25' 37.68'' E
7125/4-3,71° 30' 56.4'' N,25° 12' 56.6'' E
3/8-1,56° 27' 16.93'' N,4° 25' 7.3'' E
25/10-16 B,59° 2' 13.13'' N,2° 13' 41.38'' E
7220/10-1,72° 0' 57.34'' N,20° 3' 25.01'' E
25/8-10 S,59° 16' 22.69'' N,2° 32' 6.4'' E
25/5-7,59° 39' 43.26'' N,2° 34' 15.39'' E
1/9-1,56° 24' 5.07'' N,2° 54' 6.49'' E
6507/7-1,65° 27' 16.73'' N,7° 12' 52.77'' E
30/9-27 S,60° 24' 0.53'' N,2° 40' 15.76'' E
2/4-22 S,56° 42' 58.2'' N,3° 10' 2.98'' E
7122/7-2,71° 17' 28.46'' N,22° 16' 57.22'' E
6608/10-8,66° 3' 34.07'' N,8° 10' 42.92'' E
2/7-1,56° 25' 44.68'' N,3° 12' 14.21'' E
6506/9-3,65° 15' 5.03'' N,6° 54' 15.61'' E
7/12-2,57° 6' 41.05'' N,2° 50' 51.04'' E
2/2-5,56° 50' 5.8'' N,3° 27' 22.9'' E
25/7-1 S,59° 18' 35.23'' N,2° 16' 5.37'' E
6608/11-5,66° 11' 9.57'' N,8° 28' 50.39'' E
2/5-10 A,56° 41' 21.66'' N,3° 29' 27.32'' E
6505/10-1,65° 7' 59.69'' N,5° 10' 29.39'' E
15/12-5,58° 4' 53.36'' N,1° 54' 53.24'' E
7122/7-4 S,71° 15' 13.07'' N,22° 19' 5.41'' E
30/9-12,60° 25' 57.09'' N,2° 51' 34.9'' E
35/11-23 A,61° 1' 14.7'' N,3° 27' 49.21'' E
15/6-1,58° 32' 48.26'' N,1° 41' 32.8'' E
2/7-9,56° 19' 50.6'' N,3° 14' 29.3'' E
31/6-8 R,60° 33' 21.36'' N,3° 40' 39.07'' E
6607/12-4 A,66° 3' 39.79'' N,7° 59' 5.89'' E
15/6-6,58° 31' 14.7'' N,1° 44' 53.3'' E
34/10-33 A,61° 7' 34.44'' N,2° 12' 57.1'' E
7219/8-1 S,72° 22' 28.32'' N,19° 23' 40.24'' E
6204/11-2,62° 11' 50.47'' N,4° 26' 37.67'' E
35/8-2,61° 16' 15.42'' N,3° 21' 58.17'' E
2/4-19 B,56° 33' 54.97'' N,3° 12' 13.79'' E
